Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.8s

step 00115 (24.5%) | loss: 6.206000 | lrm: 1.00 | dt: 650ms | tok/sec: 25,200 | epoch: 1 | remaining: 226s    
step 00116 (24.7%) | loss: 6.202683 | lrm: 1.00 | dt: 641ms | tok/sec: 25,562 | epoch: 1 | remaining: 225s    
step 00117 (24.9%) | loss: 6.207817 | lrm: 1.00 | dt: 641ms | tok/sec: 25,565 | epoch: 1 | remaining: 225s    
step 00118 (25.1%) | loss: 6.187595 | lrm: 1.00 | dt: 647ms | tok/sec: 25,339 | epoch: 1 | remaining: 224s    
step 00119 (25.3%) | loss: 6.169905 | lrm: 1.00 | dt: 640ms | tok/sec: 25,597 | epoch: 1 | remaining: 223s    
step 00120 (25.6%) | loss: 6.156872 | lrm: 1.00 | dt: 658ms | tok/sec: 24,908 | epoch: 1 | remaining: 223s    
step 00121 (25.8%) | loss: 6.157316 | lrm: 1.00 | dt: 644ms | tok/sec: 25,457 | epoch: 1 | remaining: 222s    
step 00122 (26.0%) | loss: 6.158194 | lrm: 1.00 | dt: 642ms | tok/sec: 25,521 | epoch: 1 | remaining: 221s    
step 00123 (26.2%) | loss: 6.154131 | lrm: 1.00 | dt: 640ms | tok/sec: 25,584 | epoch: 1 | remaining: 221s    
step 00124 (26.4%) | loss: 6.145011 | lrm: 1.00 | dt: 642ms | tok/sec: 25,516 | epoch: 1 | remaining: 220s    
step 00125 (26.6%) | loss: 6.136207 | lrm: 1.00 | dt: 653ms | tok/sec: 25,077 | epoch: 1 | remaining: 219s    
step 00126 (26.9%) | loss: 6.131529 | lrm: 1.00 | dt: 643ms | tok/sec: 25,484 | epoch: 1 | remaining: 219s    
step 00127 (27.1%) | loss: 6.134047 | lrm: 1.00 | dt: 642ms | tok/sec: 25,526 | epoch: 1 | remaining: 218s    
step 00128 (27.3%) | loss: 6.123115 | lrm: 1.00 | dt: 643ms | tok/sec: 25,470 | epoch: 1 | remaining: 218s    
step 00129 (27.5%) | loss: 6.114276 | lrm: 1.00 | dt: 649ms | tok/sec: 25,237 | epoch: 1 | remaining: 217s    
step 00130 (27.7%) | loss: 6.106830 | lrm: 1.00 | dt: 643ms | tok/sec: 25,473 | epoch: 1 | remaining: 216s    
step 00131 (27.9%) | loss: 6.121116 | lrm: 1.00 | dt: 640ms | tok/sec: 25,584 | epoch: 1 | remaining: 216s    
step 00132 (28.1%) | loss: 6.108944 | lrm: 1.00 | dt: 642ms | tok/sec: 25,528 | epoch: 1 | remaining: 215s    
step 00133 (28.4%) | loss: 6.108350 | lrm: 1.00 | dt: 640ms | tok/sec: 25,599 | epoch: 1 | remaining: 214s    
step 00134 (28.6%) | loss: 6.097541 | lrm: 1.00 | dt: 651ms | tok/sec: 25,149 | epoch: 1 | remaining: 214s    
step 00135 (28.8%) | loss: 6.096533 | lrm: 1.00 | dt: 639ms | tok/sec: 25,620 | epoch: 1 | remaining: 213s    
step 00136 (29.0%) | loss: 6.084973 | lrm: 1.00 | dt: 655ms | tok/sec: 25,028 | epoch: 1 | remaining: 212s    
step 00137 (29.2%) | loss: 6.067365 | lrm: 1.00 | dt: 645ms | tok/sec: 25,414 | epoch: 1 | remaining: 212s    
step 00138 (29.4%) | loss: 6.057864 | lrm: 1.00 | dt: 649ms | tok/sec: 25,240 | epoch: 1 | remaining: 211s    
step 00139 (29.6%) | loss: 6.060219 | lrm: 1.00 | dt: 639ms | tok/sec: 25,624 | epoch: 1 | remaining: 210s    
step 00140 (29.9%) | loss: 6.063577 | lrm: 1.00 | dt: 642ms | tok/sec: 25,508 | epoch: 1 | remaining: 210s    
step 00141 (30.1%) | loss: 6.047437 | lrm: 1.00 | dt: 640ms | tok/sec: 25,613 | epoch: 1 | remaining: 209s    
step 00142 (30.3%) | loss: 6.031547 | lrm: 1.00 | dt: 651ms | tok/sec: 25,172 | epoch: 1 | remaining: 208s    
step 00143 (30.5%) | loss: 6.021269 | lrm: 1.00 | dt: 644ms | tok/sec: 25,424 | epoch: 1 | remaining: 208s    
step 00144 (30.7%) | loss: 6.032492 | lrm: 1.00 | dt: 642ms | tok/sec: 25,510 | epoch: 1 | remaining: 207s    
step 00145 (30.9%) | loss: 6.019905 | lrm: 1.00 | dt: 641ms | tok/sec: 25,557 | epoch: 1 | remaining: 207s    
step 00146 (31.1%) | loss: 6.019378 | lrm: 1.00 | dt: 643ms | tok/sec: 25,486 | epoch: 1 | remaining: 206s    
step 00147 (31.4%) | loss: 6.000514 | lrm: 1.00 | dt: 650ms | tok/sec: 25,223 | epoch: 1 | remaining: 205s    
step 00148 (31.6%) | loss: 5.993459 | lrm: 1.00 | dt: 646ms | tok/sec: 25,354 | epoch: 1 | remaining: 205s    
step 00149 (31.8%) | loss: 5.988192 | lrm: 1.00 | dt: 645ms | tok/sec: 25,407 | epoch: 1 | remaining: 204s    
step 00150 (32.0%) | loss: 5.973721 | lrm: 1.00 | dt: 640ms | tok/sec: 25,604 | epoch: 1 | remaining: 203s    
step 00151 (32.2%) | loss: 5.975720 | lrm: 1.00 | dt: 654ms | tok/sec: 25,065 | epoch: 1 | remaining: 203s    
step 00152 (32.4%) | loss: 5.964605 | lrm: 1.00 | dt: 641ms | tok/sec: 25,542 | epoch: 1 | remaining: 202s    
step 00153 (32.7%) | loss: 5.982640 | lrm: 1.00 | dt: 642ms | tok/sec: 25,534 | epoch: 1 | remaining: 201s    
step 00154 (32.9%) | loss: 5.978465 | lrm: 1.00 | dt: 650ms | tok/sec: 25,188 | epoch: 1 | remaining: 201s    
step 00155 (33.1%) | loss: 5.964828 | lrm: 1.00 | dt: 642ms | tok/sec: 25,500 | epoch: 1 | remaining: 200s    
step 00156 (33.3%) | loss: 5.957962 | lrm: 1.00 | dt: 652ms | tok/sec: 25,132 | epoch: 1 | remaining: 199s    
step 00157 (33.5%) | loss: 5.941799 | lrm: 1.00 | dt: 642ms | tok/sec: 25,525 | epoch: 1 | remaining: 199s    
step 00158 (33.7%) | loss: 5.933821 | lrm: 1.00 | dt: 641ms | tok/sec: 25,541 | epoch: 1 | remaining: 198s    
step 00159 (33.9%) | loss: 5.922834 | lrm: 1.00 | dt: 639ms | tok/sec: 25,630 | epoch: 1 | remaining: 198s    
step 00160 (34.2%) | loss: 5.910031 | lrm: 1.00 | dt: 650ms | tok/sec: 25,192 | epoch: 1 | remaining: 197s    
step 00161 (34.4%) | loss: 5.931360 | lrm: 1.00 | dt: 644ms | tok/sec: 25,450 | epoch: 1 | remaining: 196s    
step 00162 (34.6%) | loss: 5.931719 | lrm: 1.00 | dt: 665ms | tok/sec: 24,646 | epoch: 1 | remaining: 196s    
step 00163 (34.8%) | loss: 5.921798 | lrm: 1.00 | dt: 643ms | tok/sec: 25,469 | epoch: 1 | remaining: 195s    
step 00164 (35.0%) | loss: 5.907015 | lrm: 1.00 | dt: 650ms | tok/sec: 25,192 | epoch: 1 | remaining: 194s    
step 00165 (35.2%) | loss: 5.903096 | lrm: 1.00 | dt: 643ms | tok/sec: 25,484 | epoch: 1 | remaining: 194s    
step 00166 (35.5%) | loss: 5.911014 | lrm: 1.00 | dt: 643ms | tok/sec: 25,475 | epoch: 1 | remaining: 193s    
step 00167 (35.7%) | loss: 5.906529 | lrm: 1.00 | dt: 646ms | tok/sec: 25,342 | epoch: 1 | remaining: 192s    
step 00168 (35.9%) | loss: 5.892459 | lrm: 1.00 | dt: 641ms | tok/sec: 25,552 | epoch: 1 | remaining: 192s    
step 00169 (36.1%) | loss: 5.884700 | lrm: 1.00 | dt: 651ms | tok/sec: 25,183 | epoch: 1 | remaining: 191s    
step 00170 (36.3%) | loss: 5.886190 | lrm: 1.00 | dt: 641ms | tok/sec: 25,553 | epoch: 1 | remaining: 190s    
step 00171 (36.5%) | loss: 5.882109 | lrm: 1.00 | dt: 652ms | tok/sec: 25,110 | epoch: 1 | remaining: 190s    
step 00172 (36.7%) | loss: 5.874627 | lrm: 1.00 | dt: 646ms | tok/sec: 25,362 | epoch: 1 | remaining: 189s    
step 00173 (37.0%) | loss: 5.863449 | lrm: 1.00 | dt: 650ms | tok/sec: 25,189 | epoch: 1 | remaining: 188s    
step 00174 (37.2%) | loss: 5.860600 | lrm: 1.00 | dt: 642ms | tok/sec: 25,519 | epoch: 1 | remaining: 188s    
step 00175 (37.4%) | loss: 5.874432 | lrm: 1.00 | dt: 640ms | tok/sec: 25,593 | epoch: 1 | remaining: 187s    
step 00176 (37.6%) | loss: 5.871625 | lrm: 1.00 | dt: 642ms | tok/sec: 25,524 | epoch: 1 | remaining: 187s    
step 00177 (37.8%) | loss: 5.859237 | lrm: 1.00 | dt: 652ms | tok/sec: 25,125 | epoch: 1 | remaining: 186s    
step 00178 (38.0%) | loss: 5.856793 | lrm: 1.00 | dt: 644ms | tok/sec: 25,448 | epoch: 1 | remaining: 185s    
step 00179 (38.2%) | loss: 5.864711 | lrm: 1.00 | dt: 641ms | tok/sec: 25,571 | epoch: 1 | remaining: 185s    
step 00180 (38.5%) | loss: 5.861291 | lrm: 1.00 | dt: 644ms | tok/sec: 25,439 | epoch: 1 | remaining: 184s    
step 00181 (38.7%) | loss: 5.847218 | lrm: 1.00 | dt: 643ms | tok/sec: 25,479 | epoch: 1 | remaining: 183s    
step 00182 (38.9%) | loss: 5.842147 | lrm: 1.00 | dt: 655ms | tok/sec: 25,005 | epoch: 1 | remaining: 183s    
step 00183 (39.1%) | loss: 5.837970 | lrm: 1.00 | dt: 641ms | tok/sec: 25,540 | epoch: 1 | remaining: 182s    
step 00184 (39.3%) | loss: 5.835092 | lrm: 1.00 | dt: 640ms | tok/sec: 25,582 | epoch: 1 | remaining: 181s    
step 00185 (39.5%) | loss: 5.830259 | lrm: 1.00 | dt: 642ms | tok/sec: 25,535 | epoch: 1 | remaining: 181s    
step 00186 (39.8%) | loss: 5.823470 | lrm: 1.00 | dt: 646ms | tok/sec: 25,365 | epoch: 1 | remaining: 180s    
step 00187 (40.0%) | loss: 5.822287 | lrm: 1.00 | dt: 640ms | tok/sec: 25,588 | epoch: 1 | remaining: 179s    
